"id","active","taxes_id/id","supplier_taxes_id/id","name","standard_price","list_price","default_code","description"
"__export__.product_template_21","True","__export__.account_tax_1","__export__.account_tax_2","AMD Ryzen 5 3600 3.6Ghz BOX","","210.99","0009","Procesadores"
"__export__.product_template_30","True","__export__.account_tax_1","__export__.account_tax_2","Asus Dual Radeon RX 580 OC Edition 4GB GDDR5","","239.9","0017","Tarjetas Gráficas"
"__export__.product_template_31","True","__export__.account_tax_1","__export__.account_tax_2","Asus Dual Radeon RX 580 OC Edition 4GB GDDR5","","209.9","0018","Tarjetas Gráficas"
"__export__.product_template_16","True","__export__.account_tax_1","__export__.account_tax_2","Asus PRIME B450M-A","","78.99","0004","Placas base"
"__export__.product_template_59","True","__export__.account_tax_1","__export__.account_tax_2","BenQ GL2580H 24.5"" LED FHD","","115.0","0046","Monitores"
"__export__.product_template_62","True","__export__.account_tax_1","__export__.account_tax_2","BenQ GW2480E 23.8"" LED IPS FullHD","","118.1","0049","Monitores"
"__export__.product_template_60","True","__export__.account_tax_1","__export__.account_tax_2","BenQ ZOWIE XL2411P 24"" LED 144Hz e-Sports","","199.0","0047","Monitores"
"__export__.product_template_52","True","__export__.account_tax_1","__export__.account_tax_2","Cooler Master Hyper 212 Black Edition","","34.99","0039","Ventilación"
"__export__.product_template_50","True","__export__.account_tax_1","__export__.account_tax_2","Cooler Master MasterLiquid ML240L RGB","","59.99","0037","Ventilación"
"__export__.product_template_53","True","__export__.account_tax_1","__export__.account_tax_2","Corsair Hydro H100x Kit de Refrigeración Líquida","","89.99","0040","Ventilación"
"__export__.product_template_48","True","__export__.account_tax_1","__export__.account_tax_2","Corsair RM750 750W 80 Plus Gold Full Modular","","99.99","0035","Fuentes de alimentación"
"__export__.product_template_34","True","__export__.account_tax_1","__export__.account_tax_2","Corsair Vengeance LPX DDR4 3000 PC4-24000 16GB 2x8GB CL15","","85.95","0021","Memoria RAM"
"__export__.product_template_37","True","__export__.account_tax_1","__export__.account_tax_2","Corsair Vengeance RGB Pro DDR4 3200 PC4-25600 16GB 2x8GB CL16","","103.99","0024","Memoria RAM"
"__export__.product_template_47","True","__export__.account_tax_1","__export__.account_tax_2","Corsair VS650 650W 80 Plus White","","54.99","0034","Fuentes de alimentación"
"__export__.product_template_36","True","__export__.account_tax_1","__export__.account_tax_2","Crucial DDR4 2400 PC4-19200 8GB CL17","","33.95","0023","Memoria RAM"
"__export__.product_template_38","True","__export__.account_tax_1","__export__.account_tax_2","G.Skill Trident Z RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16","","112.99","0025","Memoria RAM"
"__export__.product_template_14","True","__export__.account_tax_1","__export__.account_tax_2","Gigabyte B450M DS3H","","65.99","0002","Placas base"
"__export__.product_template_29","True","__export__.account_tax_1","__export__.account_tax_2","Gygabyte GeForce GTX 1660 OC 6GB GDDR5","","239.9","0016","Tarjetas Gráficas"
"__export__.product_template_32","True","__export__.account_tax_1","__export__.account_tax_2","Gygabyte GeForce RTX 2060 OC 6GB GDDR6","","359.9","0019","Tarjetas Gráficas"
"__export__.product_template_22","True","__export__.account_tax_1","__export__.account_tax_2","Intel Core i5-8400 2.8Ghz BOX","","190.99","0010","Procesadores"
"__export__.product_template_20","True","__export__.account_tax_1","__export__.account_tax_2","Intel Core i5-9700K 3.7Ghz","","220.99","0008","Procesadores"
"__export__.product_template_19","True","__export__.account_tax_1","__export__.account_tax_2","Intel Core i7-9700K 3.6Ghz","","369.99","0007","Procesadores"
"__export__.product_template_24","True","__export__.account_tax_1","__export__.account_tax_2","Kingston A400 SSD 120Gb","","20.99","0012","Discos Duros SSD"
"__export__.product_template_23","True","__export__.account_tax_1","__export__.account_tax_2","Kingston A400 SSD 240BG","","32.99","0011","Discos Duros SSD"
"__export__.product_template_25","True","__export__.account_tax_1","__export__.account_tax_2","Kingston A400 SSD 480 Gb","","52.74","0013","Discos Duros SSD"
"__export__.product_template_35","True","__export__.account_tax_1","__export__.account_tax_2","Kingston HyperX Predator DDR4 3200 PC4-25600 16GB 2x8GB CL16","","91.95","0022","Memoria RAM"
"__export__.product_template_63","True","__export__.account_tax_1","__export__.account_tax_2","LG 24MP59G-P 24"" LED Full HD IPS","","129.0","0050","Monitores"
"__export__.product_template_57","True","__export__.account_tax_1","__export__.account_tax_2","Logitech Desktop MK120","","16.5","0044","Periféricos"
"__export__.product_template_58","True","__export__.account_tax_1","__export__.account_tax_2","Logitech Keyboard K120 Teclado USB","","12.9","0045","Periféricos"
"__export__.product_template_17","True","__export__.account_tax_1","__export__.account_tax_2","MSI B360M PRO-VDH","","74.99","0005","Placas base"
"__export__.product_template_15","True","__export__.account_tax_1","__export__.account_tax_2","MSI B450 Gaming Plus MAX","","90.99","0003","Placas base"
"__export__.product_template_33","True","__export__.account_tax_1","__export__.account_tax_2","MSI Radeon RX 580 Armor 8G OC 8GB GDDR5","","204.9","0020","Tarjetas Gráficas"
"__export__.product_template_12","True","__export__.account_tax_1","__export__.account_tax_2","MSI Z390-A PRO","","119.9","0001","Placas base"
"__export__.product_template_56","True","__export__.account_tax_1","__export__.account_tax_2","Newskill Hanshi Spectrum Teclado Mecánico RGB Kailh Blue","","73.99","0043","Periféricos"
"__export__.product_template_49","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Andromeda 120 Kit de Refrigeración Líquida","","89.99","0036","Ventilación"
"__export__.product_template_41","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Krater Cristal Templado USB 3.0 RGB Negro","","79.5","0028","Torres"
"__export__.product_template_46","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Scutum PSU Fuente de Alimentacion 650W 80 Plus Bronze","","45.02","0033","Fuentes de alimentación"
"__export__.product_template_51","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Vela KX CPU Cooler","","21.99","0038","Ventilación"
"__export__.product_template_42","True","__export__.account_tax_1","__export__.account_tax_2","Nox Hummer MC USB 3.0 Negra","","44.99","0029","Torres"
"__export__.product_template_43","True","__export__.account_tax_1","__export__.account_tax_2","Nox Hummer MC USB 3.0 Zero Edition Blanca","","44.99","0030","Torres"
"__export__.product_template_45","True","__export__.account_tax_1","__export__.account_tax_2","Owlotech BPS Fuente Alimentación 600W","","16.99","0032","Fuentes de alimentación"
"__export__.product_template_54","True","__export__.account_tax_1","__export__.account_tax_2","Owlotech Combo 101 Teclado + Ratón Inalámbricos","","13.95","0042","Periféricos"
"__export__.product_template_40","True","__export__.account_tax_1","__export__.account_tax_2","Owlotech Start Case USB 3.0 500W","","39.99","0027","Torres"
"__export__.product_template_61","True","__export__.account_tax_1","__export__.account_tax_2","Philips 273V7QDAB 27"" LED IPS FullHD","","149.99","0048","Monitores"
